Tên cánh đồng,"Toạ độ GPS (lat, lng)",Huyện/Quận,Tên nông dân / HTX,Số kg rơm ra (Ước tính),Trạng thái,Tháng thu hoạch,Mô tả ngắn,Diện tích (ha)
Cánh đồng HTX Hòa Tiến 1 – Thôn Cẩm Nê 1 ,"15.978870, 108.173994 ","Hòa Vang, Đà Nẵng ",HTX Hòa Tiến 1 (Nguyễn Văn Hùng) ,3.600 ,Sẵn sàng ,Tháng 8 & 12 ,"Cánh đồng lớn nhất xã, lúa giống chất lượng cao, áp dụng cơ giới hóa mạnh ",8.2 
Cánh đồng Hòa Bắc – Thôn Nam Yên ,"16.015, 108.145 ","Hòa Vang, Đà Nẵng ",Nông dân địa phương (HTX Hòa Bắc) ,2.500 ,Sẵn sàng ,Tháng 4 & 10 ,"Gần Bà Nà Hills, lúa truyền thống, áp dụng mô hình ""3 không"" ",5.0 
Cánh đồng Hòa Nhơn Thôn trung tâm ,"16.009551, 108.109446 ","Hòa Vang, Đà Nẵng ",HTX Hòa Nhơn ,4.800 ,Đã thu gom ,Tháng 4 & 10 ,"Cánh đồng lớn, năng suất cao 70 tạ/ha ",9.5 
Cánh đồng Hòa Phú – Trung tâm ,"15.970265, 108.048589 ","Hòa Vang, Đà Nẵng ",HTX Hòa Phú ,3.800 ,Sẵn sàng ,Tháng 4/2026 ,Hỗ trợ mạnh mô hình không đốt rơm ,7.0 
Cánh đồng Hòa Phong ,"15.981909, 108.113996 ","Hòa Vang, Đà Nẵng ",Nông dân địa phương ,2.800 ,Sẵn sàng ,Tháng hè thu 2026 ,"Xã mới sáp nhập, giữ diện tích lúa ổn định ",5.5 
Cánh đồng Hòa Khương (gần hồ) ,"15.962221, 108.106085 ","Hòa Vang, Đà Nẵng ",Nông dân địa phương ,1.500 ,Sẵn sàng ,Tháng 6/2026 ,"Vùng chuyển đổi nhưng vẫn giữ lúa, gần hồ Đồng Nghệ ",3.5 
Cánh đồng HTX Đại Minh – Thôn 1 ,"15.844134, 108.062310 ","Đại Lộc, Quảng Nam ",HTX Nông nghiệp Đại Minh ,2.800 ,Sẵn sàng ,Tháng 4-5 & 8-9 ,"HTX tiêu biểu, lúa giống chất lượng cao, gần sông Vu Gia ",5.6 
Cánh đồng Đại Hiệp – Thôn trung tâm ,"15.914459, 108.116823 ","Đại Lộc, Quảng Nam ",Nông dân địa phương (HTX Đại Hiệp) ,3.200 ,Đã thu gom ,Tháng 4 & 10 ,"Cánh đồng lớn, năng suất cao, áp dụng cơ giới hóa ",6.4 
Cánh đồng Điện Phước - Thôn 1 ,"15.887828, 108.197171 ","Điện Bàn, Quảng Nam ",HTX Nông nghiệp 1 Điện Phước ,3.500 ,Sẵn sàng ,Tháng 4 & 10 ,"Lúa giống lớn giáp Đà Nẵng, rơm ổn định quanh năm ",7.0 
Cánh đồng Bình Nguyên – Thôn 1 ,"15.753752, 108.351018 ","Thăng Bình, Quảng Nam ",HTX Bình Nguyên (TBR97) ,4.000 ,Đã thu gom ,Tháng 5 & 11 ,"Vùng lúa giống nổi tiếng, năng suất cao nhất huyện ",8.0 
Cánh đồng Bình Tú – Thôn trung tâm ,"15.694751, 108.397257 ","Thăng Bình, Quảng Nam ",HTX Thăng Bình ,2.900 ,Sẵn sàng ,Tháng 4 & 10 ,"Cơ giới hóa toàn bộ, rơm thừa nhiều ",5.8 
Cánh đồng Quế Xuân 1 – Thôn 1 ,"15.817342, 108.281407 ","Quế Sơn, Quảng Nam ",HTX Quế Xuân 1 ,2.800 ,Sẵn sàng ,Tháng 4 & 10 ,"HTX liên kết giống Trung ương, rơm sạch ",5.6 
Cánh đồng Duy Nghĩa – Thôn trung tâm ,"15.830856, 108.380568 ","Duy Xuyên, Quảng Nam ",HTX Duy Nghĩa (liên kết giống) ,3.100 ,Đã thu gom ,Tháng 4 & 10 ,"Cánh đồng lớn, NTM kiểu mẫu, gần Mỹ Sơn ",6.2 
Cánh đồng Duy Phước - Thôn 1 ,"15.847652, 108.297462 ","Duy Xuyên, Quảng Nam ",HTX Duy Phước ,2.600 ,Sẵn sàng ,Tháng 4 & 10 ,"Lúa sạch, mô hình xanh liên kết Đà Nẵng ",5.2 